game_id,matchdate,hometeam,awayteam
1,2013-02-02-13:30,Wales,Ireland
1,2013-02-02-16:00,England,Scotland
1,2013-02-03-15:00,Italy,France
1,2013-02-09-14:30,Scotland,Italy
1,2013-02-09-17:00,France,Wales
1,2013-02-10-15:00,Ireland,England
1,2013-02-23-14:30,Italy,Wales
1,2013-02-23-17:00,England,France
1,2013-02-24-14:00,Scotland,Ireland
1,2013-03-09-14:30,Scotland,Wales
1,2013-03-09-17:00,Ireland,France
1,2013-03-10-15:00,England,Italy
1,2013-03-16-14:30,Italy,Ireland
1,2013-03-16-17:00,Wales,England
1,2013-03-16-20:00,France,Scotland