matchdate,ko,hometeam,awayteam,week,matchhomescore,matchawayscore
2014-02-01,14:30,Wales,Italy,1	
2014-02-01,18:00,France,England,1		
2014-02-02,15:00,Ireland,Scotland,1		
2014-02-08,14:30,Ireland,Wales,2	
2014-02-08,17:00,Scotland,England,2
2014-02-09,16:00,France,Italy,2
2014-02-21,20:00,Wales,France,3
2014-02-22,14:30,Italy,Scotland,3
2014-02-22,16:00,England,Ireland,3
2014-03-08,14:30,Ireland,Italy,4
2014-03-08,17:00,Scotland,France,4
2014-03-09,15:00,England,Wales,4
2014-03-15,13:30,Italy,England,5
2014-03-15,14:45,Wales,Scotland,5
2014-03-15,18:00,France,Ireland,5